eta,node_name,r_start_cm,x_over_x0
0.01,"PETALCASE0_LAYER0_TRKSensor0_1",0.4799999892711639,0.002692536849659902
0.01,"PETALCASE0_LAYER1_TRKSensor1_1",1.2000000476837158,0.0010159132969641581
0.01,"PETALCASE0_LAYER2_TRKSensor2_1",2.5,0.01525918932837569
0.01,"Petal0_Coldplate_1",2.6999705164333876,0.007127929616352348
0.01,"VD_OuterWallCyl_1",3.0,0.0016767003780210096
0.01,"A3IP_1",5.599999904632568,0.0023219542865280346
0.01,"TRKSensor0_10x38",6.93924562915319,0.012344142270773283
0.01,"TRKChip0_60x4",7.054629245992909,0.0016100549823015935
0.01,"TRKSensor1_10x38",8.944058314031693,0.012357588914114745
0.01,"TRKChip1_60x4",9.05955097407978,0.001611810634360478
0.01,"TRKSensor2_10x38",11.955098017681077,0.012381205448636138
0.01,"TRKChip2_60x4",12.070778508228546,0.0016148873678617911
0.01,"ITOFSensor_1",19.0,0.020291429348544596
0.01,"ITOFSensor_1",19.189399608710087,0.006171288176091327
0.01,"TRKSensor3_10x38",20.01240508466523,0.012465085624526749
0.01,"TRKChip3_60x4",20.128733577780228,0.001625891480009841
0.01,"TRKSensor4_10x39",30.031419747582945,0.012481550082703824
0.01,"TRKChip4_70x4",30.147637957502425,0.0016282341059839153
0.01,"TRK_MID_CARBONSUPPORT_1",34.79999923706055,0.006170099106378387
0.01,"TRK_MID_CARBONSUPPORT_1",34.935811797855,0.0029162743483609472
0.01,"TRKSensor5_10x8879",44.95607537427309,0.011412690938083352
0.01,"TRKSensor5_10x8879",45.06180041879323,0.0025012076620161156
0.01,"TRKSensor6_10x11919",59.935847360050246,0.012516910281440672
0.01,"TRKChip6_70x1489",60.0509637170365,0.0016326054179182225
0.01,"TRKSensor7_10x15598",79.75079370267123,0.012609421321311426
0.01,"TRKChip7_60x1949",79.86525864356396,0.0016447445730686145
0.01,"TRK_OUTERBARREL_FIBER_SIO2_1",80.66700000000002,0.010214260966219642
0.01,"TRK_OUTERBARREL_FIBER_SIO2_1",80.78855135384109,0.003636653071888485
0.01,"TRK_OUTERBARREL_POWER_CU_1",80.93599700927734,0.029781714015454798
0.01,"TRK_OUTERBARREL_POWER_PE_1",81.07958669489878,0.00367660537531817
0.01,"TRK_OUTERBARREL_POWER_PE_1",81.27357383478663,0.005317896326071747
0.01,"TRK_OUTERBARREL_COOLING_PU_1",81.4675317566572,0.006812018388279077
0.01,"TRK_OUTERBARREL_COOLING_PU_1",81.66146039078221,0.0068120183882793865
0.01,"TRK_OUTERBARREL_COOLING_PU_1",81.85535966744392,0.0068120183882793076
0.01,"TRK_OUTERBARREL_COOLING_PU_1",82.04922951693517,0.006339512261750627
0.01,"TRK_OUTERBARREL_COOLING_H2O_1",82.2430698695593,0.00559335524899407
0.01,"TRK_OUTERBARREL_COOLING_H2O_1",82.43688065563038,0.00559335524899402
0.01,"TRK_OUTERBARREL_COOLING_H2O_1",82.63066180547294,0.004830730266717767
0.01,"OTOFSensor_1",85.0,0.016270411148351573
0.01,"OTOFSensor_1",85.14708817383878,0.004747675110263657
